"","NMDS1","NMDS2","Site","Day"
"1",-0.00928723210070952,-0.13500807040719,"BRB",15
"2",-0.0324602853508215,-0.226277640478549,"BRB",30
"3",0.137591889622591,-0.350132219570222,"BRB",45
"4",0.381414564136802,0.0372524094722238,"BRB",60
"5",0.137563950392998,0.127111172167217,"BRB",75
"6",-0.0261618922855525,0.0556271482182385,"BRB",90
"7",-0.0184360607671173,-0.122623210557014,"KRM",15
"8",-0.197256407224382,-0.102575373224728,"KRM",30
"9",-0.326767379861841,0.00449103271347437,"KRM",45
"10",-0.270004037750665,0.115929511691271,"KRM",60
"11",-0.377790757336213,0.229905787595679,"KRM",75
"12",-0.193639629529043,0.102169233727983,"KRM",90
"13",0.0109465475531529,-0.158097834715145,"YHG",15
"14",0.0739034127907509,-0.0497630613945947,"YHG",30
"15",0.245645546489774,0.128270459974174,"YHG",45
"16",0.425608068655849,0.226258779661522,"YHG",60
"17",0.0834797945702797,0.0709009977964651,"YHG",75
"18",-0.0443500920058529,0.0465608773291944,"YHG",90
