"","NMDS1","NMDS2","Species","distance"
"Arborescent_bryozoans",0.294910554161239,-0.330810288280814,"Arborescent_bryozoans",0.443179062894587
"Barnacles",0.218159101518169,0.204964314962171,"Barnacles",0.299338878168417
"Bivalves",0.0895542517578718,0.142728120520273,"Bivalves",0.168497122809743
"Brown_algae",-0.330676789781528,-0.147017477756595,"Brown_algae",0.361885725148323
"Colonial_ascidians",0.320032464055802,0.161551509709323,"Colonial_ascidians",0.358496399338947
"Crustose_coralline_algae",-0.169875260965581,0.111684314401087,"Crustose_coralline_algae",0.203300246855151
"Cyanobacteria",0.012825168038789,-0.249436810508544,"Cyanobacteria",0.249766305517575
"Encrusting_bryozoans",-0.300617878520092,0.121797147394496,"Encrusting_bryozoans",0.324354210700828
"Hydroids",-0.071716868387747,-0.126403644922697,"Hydroids",0.145331313422431
"Red_algae",-0.0230005171419433,0.134887896828612,"Red_algae",0.136834821955681
"Soft_tube-building_polychaetes",0.155561071838676,0.128242746594071,"Soft_tube-building_polychaetes",0.201607165362714
"Solitary_ascidians",0.22468887705102,-0.0368030413057189,"Solitary_ascidians",0.227683015000678
"Sponge",-0.100810713365077,0.11063456155337,"Sponge",0.149675669830745
"Turf",-0.0574205269638267,0.126865651992821,"Turf",0.139255199444642
