MonitoringLocationName,mean_Turbidity,SEM_Turbidity
Brewers Bay,0.47905660377358483,0.10161120876558287
Krum Bay,0.3666666666666667,0.05406205059012895
Yacht Haven Grand,1.325,0.09722612420225568
