.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Temp_C,BRB,KRM,2136,2135,28.429335660434006,8.777021591822314e-178,2.633106477546694e-177,****
Temp_C,BRB,YHG,2136,2136,19.01305659883943,1.3297382705582687e-80,3.989214811674806e-80,****
Temp_C,KRM,YHG,2135,2136,-9.418505023856943,4.5755604561007985e-21,1.3726681368302396e-20,****
