comparison,diff,lwr,upr,p adj
Krum Bay-Brewers Bay,-0.06174999999999997,-0.12400116961152104,5.011696115210934e-4,0.052376348284790986
Yacht Haven Grand-Brewers Bay,-0.07554901960784388,-0.1253702946631075,-0.025727744552580263,0.0013472537738453694
Yacht Haven Grand-Krum Bay,-0.01379901960784391,-0.06776880863754342,0.040170769421855594,0.8166706119992333
